Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,3,None,1,"if not others options : car or other, not in savings accounts/bonds",25,None,rent,1,skilled employee /official,1,None,yes,1,107.91666666666667,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,business,less than 100DM,less than 1 year,3,None,4,if not real estate : building society savings agreement/life insurance,24,None,rent,1,skilled employee /official,1,None,yes,1,89.75,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,1,None,1,"if not others options : car or other, not in savings accounts/bonds",22,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,130.58333333333334,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",60,None,own,2,unskilled-resident,1,None,yes,1,49.958333333333336,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,rent,1,skilled employee /official,1,None,yes,0,93.53333333333333,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",32,None,own,1,unskilled-resident,1,None,yes,1,53.416666666666664,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,53,None,own,2,skilled employee /official,1,None,yes,0,101.0,male , single
less than 0 DM,no credits tanken/all credits paid back duly,business,unknown / no savings account,less than 1 year,2,None,3,"if not others options : car or other, not in savings accounts/bonds",25,bank,own,3,skilled employee /official,1,None,yes,0,269.06666666666666,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,bigger than or equal 7 years,4,None,2,unknown/no property,44,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,524.125,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,skilled employee /official,2,"yes, registered under the customers name",yes,0,142.91666666666666,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",48,None,own,3,skilled employee /official,1,"yes, registered under the customers name",yes,0,237.11111111111111,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,2,None,3,real estate,44,None,rent,1,skilled employee /official,2,None,yes,0,441.1666666666667,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,less than 1 year,1,None,3,real estate,48,None,rent,2,unskilled-resident,2,None,no,0,224.1,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (used),100 less than or equal and < 500DM,less than 1 year,3,None,4,if not real estate : building society savings agreement/life insurance,44,None,own,1,skilled employee /official,1,None,yes,0,150.33333333333334,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,1 less than or equal and less than 4 years,2,None,1,"if not others options : car or other, not in savings accounts/bonds",26,None,own,2,skilled employee /official,1,None,no,0,206.9,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,1,None,2,real estate,36,bank,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,229.0,male , single
no checking account,no credits tanken/all credits paid back duly,radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",39,None,own,1,unskilled-resident,1,None,yes,0,71.0,male , married/windowed
bigger than 200DM / salary assignments for at least 1 year,all credits at this band paid back duly,radio/television,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,3,None,3,real estate,42,None,rent,2,skilled employee /official,1,None,yes,0,34.083333333333336,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,guarantor,2,real estate,34,None,own,1,skilled employee /official,1,None,yes,0,345.0,male , single
less than 0 DM,delay in paying off in the past,business,less than 100DM,bigger than or equal 7 years,3,None,4,unknown/no property,63,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,113.93333333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,bigger than or equal 1000 DM,less than 1 year,3,None,3,real estate,36,bank,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,106.27777777777777,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",27,stores,own,1,skilled employee /official,1,None,yes,0,167.5,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",30,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,325.8888888888889,male , single
no checking account,critical account / other credits existing (not at this bank),business,unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,57,None,rent,1,unskilled-resident,1,None,yes,0,105.33333333333333,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,4,None,1,if not real estate : building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,122.83333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,less than 1 year,4,None,2,if not real estate : building society savings agreement/life insurance,25,None,own,2,unskilled-resident,1,None,yes,1,105.46666666666667,male , single
no checking account,critical account / other credits existing (not at this bank),education,less than 100DM,1 less than or equal and less than 4 years,1,None,3,unknown/no property,31,bank,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,127.29166666666667,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,co-applicant,2,real estate,37,stores,own,1,skilled employee /official,1,None,yes,1,116.66666666666667,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,domestic appliances,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",37,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,122.5,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,3,real estate,24,None,own,1,skilled employee /official,1,None,yes,0,50.888888888888886,male , single
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",30,bank,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,77.76666666666667,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,3,None,1,"if not others options : car or other, not in savings accounts/bonds",26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,96.5,male , divorced/separated
0 less than or equal and less than 200 DM,delay in paying off in the past,reparis,less than 100DM,1 less than or equal and less than 4 years,2,None,4,real estate,44,None,own,1,unskilled-resident,2,"yes, registered under the customers name",yes,0,344.6666666666667,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (used),100 less than or equal and < 500DM,4 less than and equal and less than 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",24,None,rent,2,skilled employee /official,1,None,yes,0,206.23333333333332,male , married/windowed
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,58,stores,for free,2,unskilled-resident,1,None,yes,1,127.97916666666667,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,less than 1 year,4,None,4,"if not others options : car or other, not in savings accounts/bonds",35,None,own,2,management/self-employed/highly qualified employee/officer,1,None,yes,0,126.63636363636364,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",39,None,own,1,skilled employee /official,1,None,yes,0,63.861111111111114,male , single
less than 0 DM,existing credits paind back duly till now,car (used),500 less than or equal and 1000 DM,unemployed,1,None,2,if not real estate : building society savings agreement/life insurance,23,None,rent,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,0,225.33333333333334,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,1,None,4,if not real estate : building society savings agreement/life insurance,39,None,own,2,unskilled-resident,1,None,yes,0,657.0909090909091,male , single
no checking account,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,co-applicant,2,real estate,28,None,own,1,skilled employee /official,1,None,yes,0,172.75,female , divorced/separated/married
0 less than or equal and less than 200 DM,delay in paying off in the past,furniture/equipment,unknown / no savings account,less than 1 year,4,None,2,if not real estate : building society savings agreement/life insurance,29,bank,own,1,unskilled-resident,1,None,yes,0,97.20833333333333,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (used),less than 100DM,bigger than or equal 7 years,1,None,2,"if not others options : car or other, not in savings accounts/bonds",30,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,220.92592592592592,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",25,None,own,1,skilled employee /official,1,None,yes,0,105.16666666666667,male , single
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,1 less than or equal and less than 4 years,2,None,1,if not real estate : building society savings agreement/life insurance,31,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,187.66666666666666,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (new),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,57,bank,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,61.80555555555556,male , single
no checking account,all credits at this band paid back duly,car (new),unknown / no savings account,1 less than or equal and less than 4 years,1,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,None,yes,0,130.5,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,unknown / no savings account,unemployed,2,None,1,unknown/no property,52,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,539.0,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",31,stores,own,2,skilled employee /official,1,None,yes,0,265.72222222222223,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",23,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,108.94444444444444,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,4,co-applicant,4,unknown/no property,23,None,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,1,173.02777777777777,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,less than 100DM,1 less than or equal and less than 4 years,2,None,1,real estate,27,bank,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,154.55555555555554,male , married/windowed
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,guarantor,4,real estate,50,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,102.46666666666667,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,61,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,54.25,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",25,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,300.4375,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,4,if not real estate : building society savings agreement/life insurance,26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,132.54166666666666,female , divorced/separated/married
no checking account,existing credits paind back duly till now,reparis,unknown / no savings account,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,48,None,own,4,skilled employee /official,2,"yes, registered under the customers name",yes,0,192.22222222222223,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,2,None,2,"if not others options : car or other, not in savings accounts/bonds",29,bank,own,1,skilled employee /official,1,None,yes,0,180.91666666666666,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,1,real estate,22,None,own,1,skilled employee /official,1,None,yes,0,83.91666666666667,male , married/windowed
no checking account,existing credits paind back duly till now,education,less than 100DM,1 less than or equal and less than 4 years,4,None,4,unknown/no property,37,stores,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,50.52777777777778,male , single
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",25,None,own,1,skilled employee /official,1,None,yes,0,66.5,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (used),less than 100DM,1 less than or equal and less than 4 years,1,None,2,if not real estate : building society savings agreement/life insurance,30,bank,own,1,skilled employee /official,1,None,yes,0,225.91666666666666,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,2,if not real estate : building society savings agreement/life insurance,46,None,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,0,104.28571428571429,male , single
less than 0 DM,critical account / other credits existing (not at this bank),others,less than 100DM,bigger than or equal 7 years,3,None,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,145.5,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),business,less than 100DM,4 less than and equal and less than 7 years,2,None,1,real estate,41,bank,own,2,unskilled-resident,1,None,yes,0,141.76190476190476,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,education,unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,40,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,54.916666666666664,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,66,None,for free,2,management/self-employed/highly qualified employee/officer,1,None,yes,0,127.16666666666667,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,3,"if not others options : car or other, not in savings accounts/bonds",34,None,own,1,skilled employee /official,1,None,yes,1,94.4047619047619,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,radio/television,less than 100DM,4 less than and equal and less than 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,51,None,own,1,skilled employee /official,1,None,yes,0,433.72727272727275,male , single
no checking account,no credits tanken/all credits paid back duly,car (used),unknown / no savings account,1 less than or equal and less than 4 years,2,None,2,if not real estate : building society savings agreement/life insurance,39,None,own,1,unskilled-resident,2,None,yes,0,174.74074074074073,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,2,None,1,if not real estate : building society savings agreement/life insurance,22,None,own,1,skilled employee /official,1,None,yes,0,127.73333333333333,male , married/windowed
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,less than 1 year,1,None,1,"if not others options : car or other, not in savings accounts/bonds",44,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,247.625,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,47,stores,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,80.86666666666666,male , single
no checking account,existing credits paind back duly till now,business,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,3,None,4,if not real estate : building society savings agreement/life insurance,24,None,rent,1,unskilled-resident,1,None,yes,0,87.11111111111111,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,others,less than 100DM,bigger than or equal 7 years,4,guarantor,4,real estate,58,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,73.125,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,3,None,4,real estate,52,None,own,1,unskilled-resident,1,None,yes,0,231.5,male , single
no checking account,critical account / other credits existing (not at this bank),business,less than 100DM,1 less than or equal and less than 4 years,4,guarantor,2,real estate,29,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,117.66666666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,4,None,1,if not real estate : building society savings agreement/life insurance,27,None,own,2,skilled employee /official,1,None,yes,0,71.94444444444444,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,education,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,1,None,4,unknown/no property,47,None,for free,1,skilled employee /official,2,"yes, registered under the customers name",yes,1,350.3333333333333,male , single
less than 0 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,4 less than and equal and less than 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",30,None,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,124.94444444444444,male , single
less than 0 DM,no credits tanken/all credits paid back duly,reparis,less than 100DM,4 less than and equal and less than 7 years,4,None,3,real estate,28,None,own,2,skilled employee /official,1,None,yes,1,92.33333333333333,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,real estate,56,None,own,1,skilled employee /official,1,None,yes,0,51.5,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,3,real estate,54,None,own,1,skilled employee /official,1,None,yes,0,117.41666666666667,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,33,bank,own,1,unskilled-resident,2,None,yes,1,66.41666666666667,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,bigger than or equal 7 years,4,co-applicant,4,unknown/no property,20,None,rent,2,skilled employee /official,1,None,yes,0,150.70833333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,4,real estate,54,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,109.83333333333333,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,less than 100DM,less than 1 year,3,None,4,unknown/no property,58,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,295.27777777777777,male , single
no checking account,critical account / other credits existing (not at this bank),education,unknown / no savings account,4 less than and equal and less than 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",61,None,own,1,skilled employee /official,1,None,yes,0,167.66666666666666,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",34,None,own,1,skilled employee /official,1,None,yes,0,145.66666666666666,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,real estate,36,None,own,1,skilled employee /official,1,None,yes,0,64.91666666666667,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (used),unknown / no savings account,4 less than and equal and less than 7 years,3,None,4,if not real estate : building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,352.85,male , single
no checking account,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,bigger than or equal 7 years,4,None,4,real estate,41,None,rent,1,unskilled-resident,1,None,yes,0,61.208333333333336,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",24,None,rent,1,skilled employee /official,1,None,yes,0,64.52777777777777,male , single
no checking account,delay in paying off in the past,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,24,None,own,1,skilled employee /official,1,None,yes,0,155.33333333333334,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",35,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,213.22222222222223,male , single
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,less than 1 year,2,None,4,"if not others options : car or other, not in savings accounts/bonds",26,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,203.75,male , married/windowed
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),others,less than 100DM,1 less than or equal and less than 4 years,2,co-applicant,3,"if not others options : car or other, not in savings accounts/bonds",39,None,own,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,1,497.4166666666667,male , single
no checking account,all credits at this band paid back duly,car (new),less than 100DM,bigger than or equal 7 years,2,None,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,1,358.77777777777777,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",32,None,own,1,skilled employee /official,1,None,yes,0,506.5,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,less than 1 year,1,None,2,if not real estate : building society savings agreement/life insurance,30,None,own,1,skilled employee /official,1,"yes, registered under the customers name",no,0,321.7083333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,500 less than or equal and 1000 DM,bigger than or equal 7 years,1,None,2,real estate,35,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,100.71428571428571,male , married/windowed
0 less than or equal and less than 200 DM,delay in paying off in the past,business,100 less than or equal and < 500DM,bigger than or equal 7 years,1,None,2,"if not others options : car or other, not in savings accounts/bonds",31,bank,own,2,skilled employee /official,2,None,yes,0,241.5,male , divorced/separated
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,education,less than 100DM,less than 1 year,4,None,4,if not real estate : building society savings agreement/life insurance,23,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,26.133333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,3,None,3,real estate,28,None,rent,1,unskilled-resident,1,None,yes,0,347.77777777777777,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,25,stores,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,218.19444444444446,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,3,None,1,real estate,35,None,own,1,skilled employee /official,1,None,yes,0,140.0,male , married/windowed
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,1,real estate,47,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,74.54166666666667,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,unknown / no savings account,4 less than and equal and less than 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",30,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,170.8095238095238,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,less than 1 year,2,co-applicant,3,real estate,27,None,rent,2,skilled employee /official,1,None,no,0,213.2,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",23,None,own,2,skilled employee /official,1,None,yes,1,129.72727272727272,female , divorced/separated/married
